file,class,old_vertices,new_vertices,old_faces,new_faces
ShapeDatabase/DeskLamp/m611.obj,DeskLamp,87,8736,200,17328
ShapeDatabase/DeskLamp/m606.obj,DeskLamp,87,8714,145,17328
ShapeDatabase/Vase/m533.obj,Vase,32,6689,68,13312
ShapeDatabase/MultiSeat/m783.obj,MultiSeat,66,16000,120,31944
ShapeDatabase/MultiSeat/m782.obj,MultiSeat,40,11938,46,23296
ShapeDatabase/MultiSeat/m778.obj,MultiSeat,46,6460,90,12880
ShapeDatabase/MultiSeat/m784.obj,MultiSeat,24,11654,36,23296
ShapeDatabase/MultiSeat/m836.obj,MultiSeat,28,16295,44,32128
ShapeDatabase/MultiSeat/m840.obj,MultiSeat,94,12122,180,23940
ShapeDatabase/MultiSeat/m841.obj,MultiSeat,36,19314,68,38624
ShapeDatabase/NonWheelChair/m793.obj,NonWheelChair,81,9039,98,17344
ShapeDatabase/NonWheelChair/m818.obj,NonWheelChair,76,7126,120,14176
ShapeDatabase/NonWheelChair/m827.obj,NonWheelChair,88,7062,132,14080
ShapeDatabase/Bird/m50.obj,Bird,93,15010,182,30016
ShapeDatabase/Bird/m43.obj,Bird,41,4936,54,9552
ShapeDatabase/RoundTable/m933.obj,RoundTable,55,7806,100,15600
ShapeDatabase/RoundTable/m931.obj,RoundTable,54,8074,88,16128
ShapeDatabase/RoundTable/m937.obj,RoundTable,72,14978,140,29952
ShapeDatabase/RoundTable/m922.obj,RoundTable,54,8074,88,16128
ShapeDatabase/PlantIndoors/m1032.obj,PlantIndoors,96,10518,156,21000
ShapeDatabase/Gun/m651.obj,Gun,91,10332,130,20352
ShapeDatabase/House/m434.obj,House,22,9235,26,18048
ShapeDatabase/House/m423.obj,House,35,10286,48,20240
ShapeDatabase/House/m462.obj,House,25,11106,22,21504
ShapeDatabase/Chess/m1605.obj,Chess,89,16369,168,32608
ShapeDatabase/Chess/D01053.obj,Chess,89,16369,168,32608
ShapeDatabase/AquaticAnimal/m59.obj,AquaticAnimal,44,7208,1680,14368
ShapeDatabase/Spoon/D00474.obj,Spoon,72,10807,363,21448
ShapeDatabase/PlantWildNonTree/m983.obj,PlantWildNonTree,70,7263,74,13792
ShapeDatabase/Rocket/D00426.obj,Rocket,36,8596,56,16992
ShapeDatabase/Rocket/D00015.obj,Rocket,88,6964,156,13908
ShapeDatabase/Rocket/D00472.obj,Rocket,66,7150,108,14156
ShapeDatabase/Shelf/m858.obj,Shelf,48,11370,28,21504
ShapeDatabase/Shelf/m860.obj,Shelf,56,7630,84,15232
ShapeDatabase/Shelf/D00592.obj,Shelf,71,8273,106,16502
ShapeDatabase/Shelf/m845.obj,Shelf,60,6864,88,13376
ShapeDatabase/Shelf/m851.obj,Shelf,68,10264,120,20320
ShapeDatabase/Shelf/m854.obj,Shelf,96,14585,204,28928
ShapeDatabase/Shelf/m855.obj,Shelf,46,18894,44,36608
ShapeDatabase/Shelf/m856.obj,Shelf,64,8720,96,17408
ShapeDatabase/Ship/m1450.obj,Ship,98,8260,156,16032
ShapeDatabase/Computer/D01102.obj,Computer,28,11975,30,23552
ShapeDatabase/Computer/D01071.obj,Computer,29,14380,43,28496
ShapeDatabase/Computer/m1769.obj,Computer,46,9096,76,18176
ShapeDatabase/Computer/m1765.obj,Computer,28,11975,30,23552
ShapeDatabase/Computer/m1766.obj,Computer,29,14380,43,28496
ShapeDatabase/Computer/D01085.obj,Computer,46,9096,76,18176
ShapeDatabase/Sign/m1684.obj,Sign,44,12326,76,24640
ShapeDatabase/Sign/m1673.obj,Sign,80,12767,86,25096
ShapeDatabase/Sign/m1675.obj,Sign,40,6826,52,13376
ShapeDatabase/Sign/m1674.obj,Sign,50,8413,78,16776
ShapeDatabase/FloorLamp/m623.obj,FloorLamp,78,9049,120,18048
ShapeDatabase/FloorLamp/m622.obj,FloorLamp,54,6444,88,12860
ShapeDatabase/FloorLamp/m624.obj,FloorLamp,46,7624,76,15232
ShapeDatabase/Tool/m1102.obj,Tool,24,7499,52,14882
ShapeDatabase/Door/D01177.obj,Door,88,10264,98,20124
ShapeDatabase/Door/m1708.obj,Door,16,21828,16,43136
ShapeDatabase/Door/D01139.obj,Door,31,12181,29,23944
ShapeDatabase/Door/D01121.obj,Door,16,21828,16,43136
ShapeDatabase/Door/D01194.obj,Door,18,6114,18,11904
ShapeDatabase/Door/D01143.obj,Door,48,15350,72,30676
ShapeDatabase/Door/m1711.obj,Door,68,6954,132,13468
ShapeDatabase/Door/D01144.obj,Door,68,6954,132,13468
ShapeDatabase/Knife/D01175.obj,Knife,87,6918,498,13828
ShapeDatabase/Car/m1544.obj,Car,60326,7049,116378,12000
ShapeDatabase/Car/m1556.obj,Car,35131,8523,119540,12000
ShapeDatabase/Car/m1510.obj,Car,54710,6008,109357,11999
ShapeDatabase/Biplane/m1120.obj,Biplane,65722,6653,129881,12000
ShapeDatabase/Helicopter/m1308.obj,Helicopter,58392,6007,116773,11980
ShapeDatabase/Chess/m1595.obj,Chess,60667,6418,121343,11999
ShapeDatabase/Bicycle/D00462.obj,Bicycle,56754,6191,111471,11999
