file,before_v,after_v,before_f,after_f
ShapeDatabase/House/m462.obj,25,11106,22,21504
ShapeDatabase/Chess/m1605.obj,89,16369,168,32608
ShapeDatabase/Chess/D01053.obj,89,16369,168,32608
ShapeDatabase/AquaticAnimal/m59.obj,44,7187,1680,14368
ShapeDatabase/Spoon/D00474.obj,72,10807,363,21448
ShapeDatabase/PlantWildNonTree/m983.obj,70,7263,74,13792
ShapeDatabase/Rocket/D00426.obj,36,8596,56,16992
ShapeDatabase/Rocket/D00015.obj,88,6964,156,13908
ShapeDatabase/Rocket/D00472.obj,66,7150,108,14156
ShapeDatabase/Shelf/m858.obj,48,11370,28,21504
ShapeDatabase/Shelf/m860.obj,56,7630,84,15232
ShapeDatabase/Shelf/D00592.obj,71,8273,106,16502
ShapeDatabase/Shelf/m845.obj,60,6864,88,13376
ShapeDatabase/Shelf/m851.obj,68,10264,120,20320
ShapeDatabase/Shelf/m854.obj,96,14585,204,28928
ShapeDatabase/Shelf/m855.obj,46,18853,44,36608
ShapeDatabase/Shelf/m856.obj,64,8720,96,17408
ShapeDatabase/Ship/m1450.obj,98,8260,156,16032
ShapeDatabase/Computer/D01102.obj,28,11975,30,23552
ShapeDatabase/Computer/D01071.obj,29,14380,43,28496
ShapeDatabase/Computer/m1769.obj,46,9096,76,18176
ShapeDatabase/Computer/m1765.obj,28,11975,30,23552
ShapeDatabase/Computer/m1766.obj,29,14380,43,28496
ShapeDatabase/Computer/D01085.obj,46,9096,76,18176
ShapeDatabase/Sign/m1684.obj,44,12326,76,24640
ShapeDatabase/Sign/m1673.obj,80,12767,86,25096
ShapeDatabase/Sign/m1675.obj,40,6826,52,13376
ShapeDatabase/Sign/m1674.obj,50,8413,78,16776
ShapeDatabase/FloorLamp/m623.obj,78,9049,120,18048
ShapeDatabase/FloorLamp/m622.obj,54,6444,88,12860
ShapeDatabase/FloorLamp/m624.obj,46,7624,76,15232
ShapeDatabase/Tool/m1102.obj,24,7499,52,14882
ShapeDatabase/Door/D01177.obj,88,10264,98,20124
ShapeDatabase/Door/m1708.obj,16,21828,16,43136
ShapeDatabase/Door/D01139.obj,31,12181,29,23944
ShapeDatabase/Door/D01121.obj,16,21828,16,43136
ShapeDatabase/Door/D01194.obj,18,6114,18,11904
ShapeDatabase/Door/D01143.obj,48,15350,72,30676
ShapeDatabase/Door/m1711.obj,68,6954,132,13468
ShapeDatabase/Door/D01144.obj,68,6954,132,13468
ShapeDatabase/Knife/D01175.obj,87,6918,498,13828
ShapeDatabase/Car/m1544.obj,60326,7049,116378,12000
ShapeDatabase/Car/m1556.obj,35131,8523,119540,12000
ShapeDatabase/Car/m1510.obj,54710,6008,109357,11999
ShapeDatabase/Biplane/m1120.obj,65722,6653,129881,12000
ShapeDatabase/Helicopter/m1308.obj,58392,6007,116773,11980
ShapeDatabase/Chess/m1595.obj,60667,6418,121343,11999
ShapeDatabase/Bicycle/D00462.obj,56754,6191,111471,11999
